,Review,Rating,sentiment
0," It turned out that the roadworks may have been keeping them away but for a different reason than noise or smell - with the road mostly not being used,",0,0.0
1," Nice clean toilet,",1,1.0
2, At the city outskirts both sides of the highway were decorated with well maintained gardens.,1,1.0
3, Thanks to those people who were maintaining this highway.,1,1.0
4, I could maintain my speed of 100 to 120 Kms per hour even at night at ease.,1,1.0
5, I noticed a cockroach in the Toilet-seat.,0,0.0
6," Toilets were clean but without water which was very inconvenient,",0,0.0
7,Toilet was clean with necessary facilities (even hot water also).,1,1.0
8, We brought Dettol and spread it to the Toilet before use.,0,0.0
9," Toilet was quite good with hot water facility,",1,1.0
10, Sunday was spent clearing out and tidying the apartment.,1,1.0
11, The maid hadnt been in for a few days which made it a bit complicated and I had no idea what to do with the rubbish The Security Guard helped me figure it out and I took down a lot of foodstuffs for them to save it being wasted.,0,1.0
12, I made sure everything was clean and tidy and chilled watching TV and debating with myself about whether I should pack and take home the £10 doormat Id bought when I arrived.,1,1.0
13, reasonably clean toilet and above all tariff was quite reasonable (Rs.,1,1.0
14, Both the room as well as the toilet were not clean.,1,0.0
15, Towel provided was dirty and became disfigured due to prolonged usage.,0,0.0
16, It was very clean and equipped with all required facilities.,1,1.0
17,The place was maintained by Vivekananda Kendra.,1,1.0
18,This was also a two lane road and moderately maintained except few places.,0,0.0
19, This was a wide and well maintained road.,1,1.0
20, Both the room as well as Toilet were dirty.,0,0.0
21, Cot and Bed-sheet were not cleaned for a long time.,0,0.0
22, I was maintaining comfortable speed with increased caution remembering the horrific incident we had yesterday.,0,0.0
23,Other eventful events of the week were a huge cockroach arriving in the apartment which thankfully Brian dealt with (he was willing to pick it up to put it outside!,0,1.0
24, everyone crowded around I tried to clean it up nobody would let me clean it up and then the cleaning lady who happened to be nearby gave me the most unimpressed looks I saw her the next day and smiled and I got another very unimpressed look :/ We also went out to a really nice Indian restaurant called Tandoor with the neighbour Marcus (who wed met before) and his wife Elin (whod just come back from overseas).,0,1.0
25," People celebrated this day by cleaning their homes,",1,1.0
26,This centuries old fort was still owned and maintained by ancestors of the Maratha rulers.,1,0.0
27, This fort was maintained by Archaeological Survey of India.,1,1.0
28,Another noticeable feature was the cleanliness maintained inside the temple premises.,1,1.0
29, small but clean toilets etc.,1,1.0
30, Railway police maintain strict vigil to avoid any possibility of mishap at Dudhsagar.,1,0.0
31, The temple was maintained by railways.,1,1.0
32, the water wasnt clear and there was a lot of rubbish in it (I wouldnt have got in if I thought the water was dodgy) and the rocks were really slippery.,0,1.0
33, it's very clean and the wifi is the quickest I've ever come across in India.,1,1.0
34, Literally could've cleaned the c u next Tuesday out!,0,0.0
35, Theyre often eating from the rubbish though not really sure how that works.,0,0.0
36, so regular cleaning is important).,1,1.0
37," A lot of cleaning up and repairs activities were on during my visit,",1,1.0
38, the authorities have ensured that this heritage site is properly maintained and has become a major tourist attraction in the state of Karnataka.,1,1.0
39, An archeological museum housing artifacts of the era is also being maintained in the complex.,1,1.0
40, There is always garbage around(mostly on fire since thats the best way one can get rid of garbage).,0,1.0
41, I don't think they'd cleaned the place since it was built.,0,0.0
42, There were also a couple of fairground rides and a dirty gypsy encampment nearby.,0,0.0
43, The buffaloes looked clean and shiny when they emerged.,0,1.0
44, stained glass windows and Minton tiles.,0,0.0
45, particularly the peacocks in the decoration both in the stained glass and the tiles.,1,1.0
46, upon his return from his lunch was shocked to see Obavva standing with a blood stained Onake and hundreds of dead bodies of the enemy around her.,0,0.0
47,decided to monitor my speed (preferably not beyond 110 km/hr) and thereafter maintained the same throughout my journey.,1,1.0
48,"Bijapur looked dirty compared to other Karnataka Tourist places,",0,0.0
49,Initial drive was thru a narrow and badly maintained road (around a Kilometer) inside a village.,0,0.0
