,Review,Rating,sentiment
0," There was some traffic because only part of the road was being resurfaced,",0,0.0
1, which is a concrete viewing platform sticking out from the road over the downward slope of the mountain.,0,0.0
2," It turned out that the roadworks may have been keeping them away but for a different reason than noise or smell - with the road mostly not being used,",0,0.0
3," They had one cottage located in the middle of the pineapple fields where Kyle,",1,1.0
4, crops and fruit trees everywhere you look.,1,1.0
5,This is the view out the back door of our bungalow.,1,1.0
6," Being a heavily crowded two lane road,",0,0.0
7, That was a smooth drive with less traffic until reaching near Tirupati.,1,1.0
8,facilities having excellent view of the Seven hills.,1,1.0
9, beautiful reception lounge and convenient car parking.,1,1.0
10, I could notice significant water accumulations in the fields both sides of the highway signifying heavy rainfall occurred few days back.,0,1.0
11, A beautiful red and golden sun was going down below the horizon.,1,1.0
12, I stopped my car to enjoy the spectacular sunset.,1,1.0
13," There were number of traffic signals to negotiate,",0,1.0
14, There were number of river-facing rooms to enjoy the splendid beauty of the river.,1,1.0
15, But mountains therein looked barren at many places and lush thick vegetation like here was not a common sight.,1,1.0
16, Traffic was slow and hundreds of trucks were waiting to cross the border.,0,0.0
17," The Golden Sea Beach here attracted tourists,",1,1.0
18,Early morning I reached the Sea beach and to my surprise hundreds of people were already waiting for the same reason.,1,1.0
19, Location of the hotel was not ideal since the sea beach was not directly visible.,1,0.0
20, beauty of NH enhanced much more after a rain and the dry road got a new life.,0,1.0
21,Scenic beauty of this leg was breathtaking and beyond narration.,1,1.0
22, NH 16 (towards east) proceeded here with mountain ranges on the left side and Chilka Lake on the other side.,1,1.0
23, I stopped my car and sat on a hillock quite sometime to enjoy the enchanting beauty of nearby mountains and Chilka Lake on the distant downhill.,1,1.0
24, This place was ideal to have a birds eye view of the entire area.,1,1.0
25,"Sitting on the hillock I could view the NH 16 proceeding towards the distant horizon,",1,1.0
26, This portion was arguably the most scenic of my entire journey.,1,0.0
27, Viewing the mystic chilka at night during moonlight from the running train was a heavenly sight and was one of my cherished memories I would never forget.,1,1.0
28, It was a big city and I had to spend around 45 minutes to combat with busy traffic and cross the city.,1,1.0
29, There was heavy police posting throughout my journey and good traffic management could be noticed everywhere.,0,1.0
30," Each of them had beautiful name like Kokila,",1,1.0
31,15 AM and caught into painful traffic in Bangalore - Mysore Highway.,0,0.0
32, Moreover it was quite crowded upto Nanjanagudu.,0,0.0
33, Thereafter it was an excellent drive inside the forest thru the mountain track.,0,1.0
34, Another attraction was existence of no of trees standing behind these cottages.,1,1.0
35, We could watch varieties of birds in those trees next morning.,1,1.0
36, There were two separate cots equipped with fantastic mosquito nets.,1,1.0
37, It was extremely difficult for any insect/mosquito to pierce thru the window.,1,0.0
38, Behind the cottage was a large field with plantations.,1,1.0
39, At the end of the field the dense forest started.,1,1.0
40," It was a glaring day with beautiful sunshine,",1,1.0
41, We climbed the hillock and noticed a beautifully crafted branch of an uprooted tree.,1,1.0
42, enjoyed cool breeze with bright sun-shine and magnificent view all around.,1,1.0
43," A 360 degree view could be watched from here,",1,1.0
44, But hungry belly and distant view of crowd near the canteen prevented us to wait further.,1,1.0
45, the resonance of tree leaves.,1,1.0
46, That area was gifted with lot of trees and home to varieties of birds.,0,0.0
47," That place was heaven for bird watchers,",1,1.0
48," particularly a row of mid-sized trees behind Vanasuma and Vanaranjini cottages,",1,1.0
49,There was a private memento shop after crossing the Forest Check Post named Temple Tree Designs.,1,1.0
50, We had both Mosquito Coil as well as Mosquito Repellent in our stock.,1,1.0
51, But we did not notice mosquito/insects coming inside the room.,1,1.0
52, our original plan of beginning early (to avoid the painful Bangalore traffic) did not materialise.,0,0.0
53,flyover was very crowded particularly due to ongoing Metro construction work upto Kengeri.,0,0.0
