,Unnamed: 0,Review,Rating,sentiment
0,0,"The Agumbe-Udupi road was closed for vehicles,",0,0.0
1,1, I got a lift down this road to the village of Someshwara which is on the bottom end of the wildlife reserve (9km from Agumbe).,1,0.0
2,2, There are trains from Udupi to Mumbai but all seats were booked for the next couple of days.,0,0.0
3,3,"In Ankola I stayed at the Radha Krishna Lodge which is across the road from the bus station and had a relatively amusing name,",1,1.0
4,4,The nearest train station to my hotel was the Sandhurst Road Station.,1,1.0
5,5, Sewri Station is just four stops along from the Sandhurst Road Station - the ticket costs just five rupees - and once there you just cross the tracks and find one of the roads heading east.,1,0.0
6,6," There's an actual road-crossing at the station from which you just keep walking until you hit a T-junction (and then turn right) but I followed some other local people across the tracks themselves and went along a smaller road,",1,1.0
7,7,To fill in the day I took a taxi from by the train station to the Byculla Zoo which was not what I was expecting from a zoo in Mumbai.,0,0.0
8,8, which is an hour south by train so you need to start early.,0,0.0
9,9," I got to the Sandhurst Road Station at 6am,",0,0.0
10,10, and the ticket guy told me that train coming into the station right now goes to Panvel.,0,1.0
11,11," I had to go all the way back to Sandhurst Road Station,",0,0.0
12,12, to wait for the next train which really went to Panvel.,0,0.0
13,13,30am I was only just leaving (again) Sandhurst Road at that time.,0,0.0
14,14, it gives a bird eye view of the building on one hand and the look of adjacent city roads on the other hand.,1,1.0
15,15," caught a night bus straight after a journey from somewhere else during the day,",0,1.0
16,16," I don't think I have ever seen so many homeless people; it got to the point where I had to wheel my backpack on the road because there would have been too many sleeping homeless people - and at that time of the morning,",0,0.0
17,17," Mumbai's architectural highlights include the old Victoria train station - much more ornate than its London namesake - now called the Chhatrapati Shivaji Terminus,",1,1.0
18,18, We took a rickshaw to Andheri train station.,0,0.0
19,19, We watched the life there for a while before taking our train back to Andheri and then the taxi to the airport.,0,0.0
20,20," a """"fun"""" journey back home started.",0,0.0
21,21," and even when I realised thanks to transport connections that it sorta wasn't,",0,1.0
22,22, I was thus left completely at the mercy of a tuk-tuk driver with the bus having dropped me on a road on the outskirts of Ahmedabad.,0,1.0
23,23, dusty road where I would have to wait a further hour and a half.,0,0.0
