,Unnamed: 0,Review,Rating,sentiment
0,0," showing it how noise is made when it puts its paw on the keys,",0,0.0
1,1, A huge percentage of the population don't even have any sort of bank cards.,1,1.0
2,2,The sole reason I wanted to visit Karnala was because four-horned antelope (chousingha) are found here.,0,0.0
3,3, I think the Indian Mammal Field Guide includes these particular langurs as within the range of black-footed grey langurs (that author doesn't recognise the Southern Plains species) but they look very different.,1,1.0
4,4,beautifully maintained.,0,1.0
5,5, it gives a bird eye view of the building on one hand and the look of adjacent city roads on the other hand.,0,1.0
6,6," I just wish I felt as clean as my sleeper having for the second time in a row,",1,1.0
7,7,The facade of Mumbai's beautiful CST station.,0,1.0
8,8, you're not always dodging motorbikes and there is significantly less noise than any other place I have been to in India.,0,1.0
9,9, It was so unexpected with Mumbai having a population of some 21 million inhabitants.,0,0.0
10,10,Perhaps more annoying than the pollution however has been dealing with some of the locals.,0,0.0
11,11,"Cricketers play on the green field of the Oval Maidan,",1,1.0
12,12," he has chosen to give without expecting anything in return and was at peace with that; because even if he didn't receive anything back,",1,1.0
13,13," Marine Drive - as well as around the Oval Maidan - is full of beautiful art-deco buildings,",1,1.0
14,14," The Arabian Sea is far too polluted to go for a swim unfortunately but nevertheless this was the first time I had set foot on a beach since I was in Odessa,",1,0.0
15,15,"Not far from the beach is Kotachiwadi,",0,0.0
16,16, a peaceful hamlet of two-storey wooden mansion blocks that may have been built in the 19th century.,0,1.0
17,17, It was a pocket of tranquillity from the noise and chaos just outside and gives an insight into what life used to be like in Mumbai back in the day.,0,1.0
18,18,remember watching live broadcasts of test cricket matches from India as a kid and remembering how crazy and fanatical the crowds were - for test matches no less!,1,0.0
19,19," although the Indian crowd are amazingly passionate and noisy - sometimes putting the English batsmen under tremendous pressure when they were going through a tricky spell,",1,0.0
20,20,"With 60% of Mumbai's population - so that's 12 million people - living in slums,",0,0.0
21,21, This becomes apparent when we pass a filthy canal full of sewage and pollution that goes straight into the Arabian Sea.,1,1.0
22,22, there are just 700 toilets for half a million people that are only cleaned weekly.,0,0.0
23,23, They did provide some OK views over the city though.,0,1.0
24,24, proper umpires and everything; but all round were rogue games of cricket and football more than just encroaching on the field of play.,1,1.0
25,25," for a bit of a break from 'real' India as I head for the western beaches of Goa and all of the Westerners on holiday there,",1,1.0
26,26," After the peaceful and relaxing time in Goa,",0,1.0
27,27, it was to hard to dive into the noise and pollution of Mumbai.,0,0.0
28,28, It is a beautiful temple and we love going there.,0,1.0
29,29, It is a super peaceful place in the middle of the oldest part of Mumbai.,0,1.0
30,30, hectic - but inside it is quiet and peaceful.,0,1.0
31,31, we tried to be relaxed and walked to the Aeroflot check in counter.,0,1.0
32,32, So finally we relaxed and went for a last chai to calm down.,0,1.0
33,33, I reckon that India has the worst pollution I have ever seen.,0,0.0
34,34," shit or smoke coming off a burning mountain of trash,",1,0.0
35,35, I can definitely say that Indian traffic jams and the craziness of driving are on another level.,0,1.0
36,36," had an interesting horn that played a short,",0,1.0
37,37," The panoramic view from the lookout down onto the caves is magnificent as is the underrated natural scenery of steep cliffs,",1,1.0
38,38, waterfalls and plateaus.,0,0.0
39,39," clean and welcoming sanctuary for a weary traveller,",1,1.0
40,40,I needed to eat something before getting on the bus so I made my way through the chaos with all my shit across the road.,1,0.0
41,41, The lake is best viewed from below during sunset and so it was then time to trek down.,1,1.0
42,42," The walk was serene and beautiful and I was able to find Brahmini ducks,",1,1.0
43,43, The panoramic view of the lake from the top was no less picturesque.,1,1.0
44,44, freshened up and went out to photograph the beautiful garden of the hotel we were staying at.,1,1.0
45,45, One of the caves had a good place to rest where we all sat down and relaxed (Everyone sat as if expecting someone to serve food but unfortunately that did not happen).,1,0.0
46,46,Lonar lake is an extremely beautiful place which is a must visit for any traveler.,0,1.0
47,47, The sunset on the lake is a view one would cherish.,1,1.0
48,48, The beautifully crafted art displays our rich heritage.,1,1.0
49,49, a hotel away from the main roads and at a pretty calm location.,0,1.0
50,50, They were Buddhist rock cut caves and one of them specifically had a beautiful shrine at the end of a passageway surrounded by sculpted columns.,1,1.0
51,51, Revenir holidays had a pretty good swimming pool (though not very clean still good enough) and we took our time there to make full use of the facility.,1,1.0
52,52, But the place had a very beautiful garden and we made full use of that taking quite a few photos.,0,1.0
53,53, That rule has gone a long way in keeping the place pollution free and maintaining the forest in its original state.,1,1.0
54,54, Then we started to check off all the view points found at Matheran.,0,0.0
55,55, The view points offer stunning views of the hills and cities of Maharashtra.,0,1.0
56,56, First up was Khandala view point which was empty waiting for someone to visit it.,0,0.0
57,57, From him we realized that Louisa view point (one of the very famous ones) was almost right opposite to us on the other side.,1,1.0
58,58," On the way to our next view point,",0,0.0
59,59, I turned and saw one of the most beautiful panoramic view I've ever seen.,1,1.0
60,60," We covered few other view points one by one including the echo point (as the name suggests you can shout and hear your echo shout back at you),",1,1.0
61,61, one tree hill (one tree was prominent at the view point) and Charlotte lake.,1,1.0
