,Unnamed: 0,Review,Rating,sentiment
0,0," There were only waiting list seats available,",0,0.0
1,1,"In Ankola I stayed at the Radha Krishna Lodge which is across the road from the bus station and had a relatively amusing name,",1,1.0
2,2, upon arrival in the town I had to spend half an hour walking through the streets just trying to find an ATM that worked.,0,0.0
3,3, All the cheap hotels seemed to be closed for the night.,0,0.0
4,4, I drove around in a little taxi for a while looking for somewhere that was open.,1,1.0
5,5, One was 1600 rupees and had cockroaches literally just running about on the bed; the guy just shrugged when I pointed that out.,0,0.0
6,6, Eventually I ended up at a crappy place called the New Shalimar Hotel which was still too expensive (1000 rupees per night) but it was 3am by this time and I needed to sleep!,0,0.0
7,7, At least with this hotel I could pay for my stay with my credit card and they had WIFI.,1,0.0
8,8,The nearest train station to my hotel was the Sandhurst Road Station.,1,1.0
9,9,To fill in the day I took a taxi from by the train station to the Byculla Zoo which was not what I was expecting from a zoo in Mumbai.,1,1.0
10,10, water is not allowed into the zoo.,0,0.0
11,11," The taxi driver assured me he knew where it was,",1,1.0
12,12,That was when I'd had enough of being polite and told him to piss off.,1,0.0
13,13, to wait for the next train which really went to Panvel.,0,0.0
14,14," I tell them """"no way"""" and that they had done what any honest and righteous person should've done by returning it and that that is what all people should do as decent human beings,",0,1.0
15,15,I wasn't dropped off as close to my hotel as I was expecting but it was still walkable - and it was a walk that shocked me.,0,0.0
16,16,The hotel was pretty dirty and crusty and I'm sharing a dorm in it as it was the cheapest place I could find with a central location close to the sights.,1,1.0
17,17," The place still functions like a hotel however and has an army of porters and cleaners who cook you your complimentary breakfast,",1,1.0
18,18," the hotel nevertheless had a charm to it - with the chequered floors,",1,1.0
19,19,Indian hotel experience from the 50s.,0,0.0
20,20, has been comparatively expensive in India as they charge per item of clothing.,1,1.0
21,21,This iconic and historically significant hotel is India's second-most photographed monument after the mausoleum that it is named after.,1,1.0
22,22," It was built by a local industrialist after he was refused entry to a European hotel for """"being a native""""; it was the first hotel in the country to employ women; it housed freedom fighters free of charge during the struggle for independence; and it was where several were killed during the 2008 terrorist attacks.",1,0.0
23,23," you could tell that he was a bit different to anyone else trying to get something out of you; for a start he spoke excellent English which made it easier for him to engage you in normal conversation,",1,1.0
24,24, Perhaps it was easier for him this time as we both had a shared love of cricket.,0,1.0
25,25, There is a massive queue when we arrive at the ticket office but one of the stewards - who he seemed to know - said that it would be quicker for me to buy my tickets online before coming back to collect them.,1,1.0
26,26, Javed of course knows an internet cafe nearby (they're still a thing here in India) and I make sure he is looking away when I enter my card details; but I don't need to as he was already looking away.,1,1.0
27,27, The guy has already managed to save me a load of time and hassle.,0,1.0
28,28," He takes me to a nice-ish restaurant that is still fairly cheap and he recommend dishes to me as well as telling me that we could share one curry,",1,1.0
29,29, And he was right - one curry was definitely enough for the both of us.,1,1.0
30,30," I could tell he was steering me towards allowing him to take me on a tour of Mumbai; but when I decided to part ways after lunch,",1,1.0
31,31," each family normally has about a 10sqm room to live in; there would be a """"wet corner"""" for people to wash in but otherwise this one room smaller than the size of my bedroom back in London,",1,1.0
32,32," Sanitation is a major issue in the slums; in Dharavi,",0,1.0
33,33, full of hotels and corporate office towers.,1,1.0
34,34,We skipped the nearby Mahalaxmi Temple when we saw the queue for it; and the Hanging Gardens were a bit of disappointment - they were far from the Hanging Gardens Of Babylon that were considered one of the seven ancient wonders of the world.,1,0.0
35,35, they were charging ?300 for a bottle of Budweiser.,0,0.0
36,36, everyone manages to cooperate and get things done.,0,0.0
37,37, The year before we had found a great deal for a hotel in Andheri with free pick up at the airport.,0,1.0
38,38," The same hotel this time was too expansive,",0,0.0
39,39," If you ever chose to stay in Andheri,",0,1.0
40,40, And they charged us 460 Rupees!,0,0.0
41,41, An official taxi is not more than 200 Rupees.,0,0.0
42,42, it has tasty and safe food for really cheap prices and an excellent chai tea.,1,1.0
43,43, It was hard to get a taxi back.,0,0.0
44,44, The aircon was freezing cold.,1,0.0
45,45, so much about this hotel which surely will never see us again!,0,0.0
46,46, Some shops offer credit card payments.,1,1.0
47,47," Lots of shops were closed,",0,0.0
48,48, After a while we had enough of the hectic life of the bazars (it is always nice and fantastic for a while - but after 2 hours we had to leave).,1,1.0
49,49, We took a taxi at the Jama Masjid which brought us to the Flora Fountain.,1,1.0
50,50, We had eggless waffles and delicious fresh juices and organic teas.,1,1.0
51,51, We watched the life there for a while before taking our train back to Andheri and then the taxi to the airport.,0,0.0
52,52, This flight was a cheap flight we had booked extra.,1,1.0
53,53, jumped into a much too expensive taxi which brought us in 10 (!,1,1.0
54,54, We did not bother about the queue to get into the airport.,1,1.0
55,55, A little girl in front of me started vomitting and it was pure luck that I realised this early enough to jump away.,1,1.0
56,56," We could even buy some cheap ayurvedic products - and for whatever reason,",1,1.0
57,57, two overnight buses and a stay in a rural village to contend with to visit my next sight.,1,1.0
58,58, Maybe it wasn't quite enough - I didn't want to get completely baked like the night before but perhaps half a bhang lassi would've been perfect.,1,1.0
59,59," there seem to be no rules whatsoever and if there are any,",0,0.0
60,60, I then decided to stay a couple of nights.,0,1.0
61,61," decently-priced accommodation in a city with little to see and almost certainly with more mayhem to contend with,",0,1.0
62,62," My SIM card then let me down at precisely the wrong time as a lack of mobile internet meant I didn't know where I was going and nor could I order an Uber,",1,0.0
63,63, dusty road where I would have to wait a further hour and a half.,1,1.0
64,64, before we somehow managed to squeeze eight people including all our luggage into a tuk-tuk for a short ride up the road to our actual bus.,1,0.0
65,65,This was my first hotel stay in India as it was the only cheap-ish place I could find and I hope that subsequent hotels will be better than this one.,1,1.0
66,66," the room is fairly crusty,",0,0.0
67,67," has no in-room wifi,",0,0.0
68,68,"The advantage that the hotel did have was the fact it was just a 4km,",0,1.0
69,69, 60 rupee taxi ride away from the whole reason I had undertaken this mission into the wops; the Ajanta Caves.,1,1.0
70,70,I was glad to be getting out of that hotel though and I used the last of my phone credit to book a hostel in my next destination: Mumbai.,1,1.0
71,71," train station and private bus companies are all within a square kilometre in Aurangabad which will make things easier - I don't usually leave things up to chance like this but like I said at the start of this entry,",1,1.0
72,72, I had almost certainly missed the same-day train to Mumbai and it would have been by far the most comfortable way to get to Mumbai and I was a little annoyed at myself that I somehow missed booking this connection.,1,1.0
73,73, deciding to get high on my last night in Udaipur instead of planning ahead and because of a lack of internet at my hotel in Fardapur.,1,1.0
74,74,"to Mumbai that night yet I still waited in the queue,",1,0.0
75,75," An hour later and feeling hot and tired among a queue of increasingly tetchy Indian men,",1,0.0
76,76, The wait had served is purpose in killing time but there is only so much time one can absolutely waste.,1,0.0
77,77,I then decided to make my way to the bus departure point as it was by a shopping mall.,0,0.0
78,78,"I was disappointed yet not surprised to find out that the """"shopping mall"""" was merely a modern-ish building housing several shops - not the bathroom and eatery laden place I was hoping for - but to get there,",1,0.0
79,79, I now had to somehow kill five hours here waiting for the bus.,0,0.0
80,80, I was hoping to get something that wasn't spicy - something easier said than done here in India.,0,1.0
81,81,"While cautiously munching through my biryani - a big plate that I managed to get through rather easily in the end - the owner of this tin-roof,",1,1.0
82,82," der im Rahmen der Rassentrennung ein europäisches Hotel nicht betreten durfte,",0,0.0
83,83," als all die europäischen Hotels - das dieser Inder furchtbar reich war,",1,0.0
84,84," Nach der Unabhängigkeit Indiens wachte das Hotel über den Abzug der britischen Armee,",0,0.0
85,85," if you stay without at least a weekend getaway for 3-4 weeks,",0,1.0
86,86, Pick a nearby tourist spot which you have been waiting to visit and just go there (even if you are 2 or 3 folks).,1,1.0
87,87, that had been cancelled and since then we had been waiting for another chance.,0,0.0
88,88, Ankur's parents had arranged for a cab to take us to their house.,1,1.0
89,89," The distance was about 80 kms and though initially the driver kept irritating us by stopping at every other shop we saw on the road,",1,0.0
90,90,Then we drove to the MTDC resort restaurant for lunch.,1,1.0
91,91," While waiting for the sunset,",0,0.0
92,92, they started running inside (apparently they don't allow others to dance with them).,1,0.0
93,93," After we reached the MTDC stay for the night (at around 10 PM or 11 PM),",1,1.0
94,94, freshened up and went out to photograph the beautiful garden of the hotel we were staying at.,1,1.0
95,95," The breakfast took time but was pretty decent and once everyone was done,",0,1.0
96,96," Ankur then dropped us to the bus boarding point (he was staying at Jalna for a while) and we reached Hyderabad the next day,",1,1.0
97,97, One can stay in the MTDC resort which is right opposite to the crater of the lake.,1,1.0
98,98, booked the hotels using the GoIbibo app and were all set for the trip.,1,1.0
99,99, we were on our way to some cafe when we saw a hotel Vishwa on our way which was also on Zomato but not recommended highly.,0,0.0
100,100," Our stay for the first day was at Revenir Holidays,",0,1.0
101,101, a hotel away from the main roads and at a pretty calm location.,1,1.0
102,102, waiting for us was Maganlal chikki shop (It is so common in Lonavala that if you stumble you would probably fall into a Maganlal store).,1,0.0
103,103, Revenir holidays had a pretty good swimming pool (though not very clean still good enough) and we took our time there to make full use of the facility.,1,1.0
104,104,raced along the length of the pool while trying to decide who is the fastest.,1,1.0
105,105," Shruti who was initially very reluctant to get into the pool but once she got in,",1,0.0
106,106, we retired to our rooms to freshen up.,1,1.0
107,107, we decided to have dinner at our hotel itself and spend time playing cards and other games.,0,1.0
108,108, It was going to be a long day as there are no vehicles allowed for travel at Matheran.,0,1.0
109,109, That rule has gone a long way in keeping the place pollution free and maintaining the forest in its original state.,1,1.0
110,110, First up was Khandala view point which was empty waiting for someone to visit it.,0,0.0
111,111, I badly wanted to have ice golas again before going back and kept irritating the others asking them to find a shop selling it.,1,0.0
112,112, we found one shop where I had my fill of golas.,0,0.0
113,113," Initially our thinking was that """"how long would a queue be"""" (we had gone there on a National Holiday) and thus,",1,1.0
114,114,I had been waiting for an opportunity to go to Lonavala and Matheran from quite some time now.,0,1.0
