,Unnamed: 0,Review,Rating,sentiment
0,0,decided to monitor my speed (preferably not beyond 110 km/hr) and thereafter maintained the same throughout my journey.,1,1.0
1,1,"Bijapur looked dirty compared to other Karnataka Tourist places,",1,0.0
2,2,Initial drive was thru a narrow and badly maintained road (around a Kilometer) inside a village.,0,0.0
3,3, Room was clean although not matching with the tariff.,1,1.0
4,4," only superficially cleaned (surprisingly,",1,1.0
5,5, the bedsheets and towels smelled and looked freshly washed) and the bathroom was filthy.,0,0.0
6,6, We have never seen such a dirty city in our lives before.,0,0.0
7,7," There was rubbish all around,",1,1.0
8,8, clean and quiet room with a big bathroom with hot water and a balcony (with a view over the fields around Bijapur).,1,1.0
9,9, They were all taking a bath in the dirty river where big crocodiles are supposed to be.,0,1.0
10,10, cleaning their teaths and so on.,1,1.0
11,11, but properly maintained except few places.,1,1.0
12,12," the stained glass windows and the burmese teak wood with ivory ingrained it,",1,1.0
13,13, Either wooden or cement based and were quaint and clean with fans.,1,1.0
14,14," stopping for a quick toilet break,",0,1.0
15,15, already the car was very dirty with wheels and lower part becoming red mingled with debris.,1,0.0
16,16, cleaning of the hotel were not of that standard.,1,1.0
17,17, even going so far as to tell the guy who was on the toilet to hurry up since I needed to go.,0,0.0
18,18, the streets are quite littered with trash and during the day there are people everywhere.,1,1.0
19,19, We smell it long before we see it  a horrible rotting stench that takes us by surprise as try to work out where it could be coming from.,0,0.0
20,20," and smells slightly of smoke,",0,0.0
21,21," She manages to render three roadside toilets (one in a petrol station and two in a hotel,",1,1.0
22,22," The fourth toilet defeats her though as many previous users' shit is already piled up to the level of the seat,",0,0.0
23,23, so after the sight and smell of that her body appears to tell her that she can hold on for now.,0,1.0
24,24, but it was the clean toilet that was the main reason for the stop.,1,1.0
25,25," the hotel had huge clean rooms with hot water that worked,",1,1.0
26,26, I loved the floor tiles and extensive stained glass in peacock motifs in the Marriage Pavilion.,1,1.0
27,27," pillows and blankets were provided and looked clean enough,",1,1.0
28,28, Id like to report that the toilets werent nearly as horrible as Id imagined.,1,0.0
29,29,If you want some toilet tips for moving trains'  shoes are always better than thongs (flip flops) for obvious reasons; tight fitting leggings or trousers are better than floppy/baggy ones; and the squat toilets are far cleaner than the western-styled toilets.,0,1.0
30,30," all perfectly clean and our room was just amazing: huge,",1,1.0
31,31, And had a perfect sleep in the comfy bed without any stains or bedbugs.,1,1.0
