,Unnamed: 0,Review,Rating,sentiment
0,0, and live like its heaven on earth.,1,1.0
1,1,Aim at heaven and you will get earth thrown in.,1,1.0
2,2,The ''kingdom of Heaven'' is a condition of the heart -not something that comes ''upon the earth'' or ''after death.,1,0.0
3,3, it's no wonder that heaven can be conceptualised as not just above the earth.,1,1.0
4,4, as a boundary between heaven and earth known as tirtha.,1,1.0
5,5," with their particular views on sanitation,",0,0.0
6,6," Heaven was delegated to hell somehow,",1,0.0
7,7, Somehow it feels comforting down in these refuges below the chaos of what is above on the surface.,0,0.0
8,8, Slowly the mist began to clear.,1,1.0
9,9, This shop was jammed full with Indian tourists.,0,0.0
10,10, The cars and the traffic drive over and this seems to be part of the threshing process.,0,0.0
11,11, We have our own veranda with a view of the lake.,1,1.0
12,12, Unbearable traffic in ever-busy Bangalore Roads was not visible.,0,0.0
13,13," Traffic was comparatively less,",0,0.0
14,14, The traffic was considerably lesser.,0,0.0
15,15, NH4 was a six lane highway and the entire road was beautifully maintained.,1,1.0
16,16," it was a two lane Highway upto Hospet (around 130 Km from Chitradurga) with reasonable traffic (mostly trucks,",1,1.0
17,17, particularly in view of the recurrent trouble of overtaking large vehicles in a comparatively narrow road.,0,1.0
18,18,I also stopped near a Sunflower cultivation field on the roadside.,1,0.0
19,19,"Despite having great historical significance and being the centre of humongous and beautiful Muslim Architecture,",1,1.0
20,20,This is one of the most beautiful monuments I have seen anywhere.,1,1.0
21,21, I was coming thru interior villages as well as cultivated fields in both sides of the road.,1,1.0
22,22, The temple was enriched with beautifully carved walls and pillars having various sculptures with minute details.,1,1.0
23,23, The walls of the temples had beautifully carved stone sculptures.,1,1.0
24,24,The sanctum contains Black Siva Linga as well as a beautiful stone large bull.,1,1.0
25,25, a beautiful view to watch.,0,1.0
26,26, Room was clean although not matching with the tariff.,0,1.0
27,27, The panoramic view on top of the hill was beautiful.,1,1.0
28,28, Lord Vishnu manifested in his various glorious form which were immortalised by the beautiful craftsmen thousand years ago.,1,1.0
29,29, Gradually the road stretched thru interior cultivation fields on all sides and few interior villages.,1,1.0
30,30," mountains stretching all around,",1,1.0
31,31," waterfalls that you can see after every few meters on the road,",1,1.0
32,32, got to witness the spectacular sunset amidst the mountains bidding goodbye for the day.,1,1.0
33,33, It was raining when we reached there; we started climbing the hill to witness the view of the whole town.,1,1.0
34,34, there is a waterfall here called Manikyadhara falls which is a sacred place for devotees who visit Datta Peeta.,1,1.0
35,35, we stopped over a temple and had a very good view of Devigiri Hills for the sunset.,1,1.0
36,36,"Trip to Chikmagaluru without a trek is never complete; Kavikal Matta is a view point which is about 8 Kms from the home stay,",1,1.0
37,37, once you are on the rock all you can see is 360 degrees of mountains all around.,1,1.0
38,38,"There was only peace all around,",0,1.0
39,39,always believed in this line Its the Journey that matters and not the Destination; this was so true with this journey; Journey to this waterfall called Jagara Falls was just more than incredible.,1,1.0
40,40, sliding through the mud and we finally reach the destination to watch the beautiful waterfall.,1,1.0
41,41, Journey to this waterfall was more incredible than seeing the waterfall itself.,0,0.0
42,42, yet again with a beautiful view of mountains and paddy fields.,1,1.0
43,43,You are a beauty and the beast.,0,1.0
44,44,"Slice from heaven that came through rain,",1,1.0
45,45," only superficially cleaned (surprisingly,",0,0.0
46,46," somehow we managed to calm our mind,",0,1.0
47,47, we tried to find a place where we could relax over a cup of tea and later have dinner.,1,1.0
48,48," Also these temples were amazing and really beautiful although in the meantime,",1,1.0
49,49, The caves and the views from the caves were really beautiful.,1,1.0
50,50," There was rubbish all around,",0,0.0
51,51, clean and quiet room with a big bathroom with hot water and a balcony (with a view over the fields around Bijapur).,0,1.0
52,52," One can see beautiful islamic architecture all around the city - but the buildings,",1,1.0
53,53, It is another really beautiful islamic monument.,1,1.0
54,54, Some more chaotic travelling was ahead of us.,0,0.0
55,55, It did not start that glorious and peaceful for us.,0,0.0
56,56, That was indeed relaxing and nice!,1,1.0
57,57, cleaning their teaths and so on.,0,0.0
58,58,Later we had a relaxing breakfast in a decent rooftop restaurant.,1,1.0
59,59, We started to walk up Hemakuta Hill from where one can get a nice view over Hampi Bazaar.,1,1.0
60,60, the best place to enjoy the beautiful sunsets here.,0,1.0
61,61, It was fun and it was really beautiful and once away from the most famous temples it was a very peaceful atmosphere.,1,1.0
62,62, It was still busy and full of tourists but has a more rural feeling with nice views over rice terrasses and boulders.,1,1.0
63,63, We had a relaxing time and lunch in the Secret River View Guesthouse with fantastatic vies over the river to the Virupaksha Temple.,1,1.0
64,64, Maybe the crowds were to much - but anyway it is very touristy.,0,0.0
65,65, The landscape is beautiful and the ruins are beautiful - we missed the special spirit we heard about so often.,1,1.0
66,66, there are some relaxed places to hang out and have a good time.,0,1.0
67,67, since we would cross the Western Ghat mountain ranges.,1,1.0
68,68,First one hour there was heavy traffic till we reached the first toll gate (Rs 45) to catch the elevated lengthy flyover thru electronic city.,0,1.0
69,69, Traffic was occasionally slow and there were few crossings upto the second toll gate(Rs 25).,0,0.0
70,70, It was a sunny day with beautiful atmosphere.,0,1.0
71,71, However need for mosquito repellent was felt.,0,0.0
72,72,A beautiful sunny morning.,0,1.0
73,73, Natural beauty was excellent.,0,1.0
74,74, The whole environment was calm and cool with sounds of birds occasionally.,1,1.0
75,75, A beautiful place with shops and market as also lodging facilities.,1,1.0
76,76, waterfall had ample water.,1,1.0
77,77, it presents a spectacular view of natural beauty.,1,1.0
78,78, mist-filled valleys made Munnar one of the tourist hotspot.,1,1.0
79,79,This breath taking beauty of nature was overwhelming.,0,1.0
80,80, Mountain ranges touched the blue sky.,1,1.0
81,81, Mountains of Munnar stood tall on the other side of the river.,1,1.0
82,82, Thus the scenic beauty was wide open.,1,1.0
83,83, It was a huge lake with exquisite natural beauty and surrounded by hills.,1,1.0
84,84, There was heavy rush of tourists enjoying the beauty of the lake and surrounding areas.,0,1.0
85,85," Enjoying breakfast therein with a magnificent view of the river,",1,1.0
86,86, adjoining mountains and light morning sunshine was a delightful experience.,1,1.0
87,87,Another important feature is that the adjoining paddy fields are below sea level.,1,1.0
88,88," This place is famous for its natural beauty and migratory birds,",1,1.0
89,89, The reception official informed that our booking was upgraded to lake-view room.,1,1.0
90,90, There were several small-sized canals within the area and canal view rooms (which we originally booked and less costly) were located by the side of the canal.,1,1.0
91,91,View from the room balcony was exquisite.,0,0.0
92,92, Everything was calm & quite except the birds.,0,1.0
93,93,calm and quiet.,0,1.0
94,94, It was time for a quiet sleep.,0,0.0
95,95, I opened the glass door and noticed everything was wet due to mist at night.,1,1.0
96,96, There are vast paddy fields at both sides.,1,1.0
97,97, the paddy fields are below the level of backwaters.,1,1.0
98,98, sea beaches is described as the Venice of the East.,1,1.0
99,99, beautifully constructed houses all surrounded by water.,0,1.0
100,100, We spent the first day walking nearby and going up the hill for some superb scenic views.,0,1.0
101,101, But you are rewarded with 360 degree views of this magical landscape.,1,1.0
102,102,views overlooking the river to Hampi.,1,1.0
103,103,On another day we went up Chamundy Hill by local bus for views overlooking the city.,1,1.0
104,104,"Determined to hit the beach immediately after lunch,",0,1.0
105,105, The drive was scenic with great roads Router: Tumkur- Davangere - Yellapur- Ankola - Gokarna.,1,1.0
106,106,Reached Kudle Beach resort by 2pm with a couple of breaks.,1,1.0
107,107, It was a lovely resort with an awesome view of the Kudle beach.,1,1.0
108,108, The beach is a 500m trek away which was fun in its own way.,1,1.0
109,109, The first evening was just beach beach beach.,0,0.0
110,110,Bang opposite the resort is a beautiful hillock.,1,1.0
111,111, The ancient temples of Gokarna are a delight to any spiritual person ? The calmness and aura cannot be explained.,1,1.0
112,112, We get a panoramic view of the Arabian sea from here and the Gokarna beach is just a few meters walk.,1,1.0
113,113,A few kilometers away from Kudle beach is Om beach.,1,1.0
114,114," less populated Kudle beach,",1,1.0
115,115, we were not too impressed with Om beach and returned quickly.,0,0.0
116,116, You must visit the place during sunset to see Shiva in the ocean background with the orange light adding beauty to the already spectacular scene.,1,1.0
117,117, You can reach the Gopuram top via a lift and have a great view as well.,1,1.0
118,118, The beach was of course crowded but the view of Shiva and the Gopuram from the beach was amazing!,1,1.0
119,119,Gokarna - Kudle beach is no doubt one of the best beach for people who love to go right in and enjoy the waves but the city's beauty is doubled due to its spiritual feel!,1,1.0
120,120," relatively calm and no hiccups along the way,",1,1.0
121,121, and honked at everything that was alive.,0,1.0
122,122, We love the relaxed rules of India.,0,1.0
123,123, We were both stuffed after eating the mountains of rice they gave us but it was really tasty meal and cheap too.,0,0.0
124,124,We sat outside for the rest of the afternoon admiring the views of the palace and people watching whilst planning our next move.,1,1.0
125,125, Both feeling slightly exhausted we decided we would cut our time short here and head to our next destination further south for some relaxation by the coast and the backwaters.,0,0.0
126,126,Hampi; described as one of the most bewitching and spell-bounding landscapes with sandy temples and ruins dotted across some of the most spectacular scenery.,1,0.0
127,127, before we arrived we could not get ourselves excited for Hampi as we enjoyed our few days of relaxation in Goa and had seen enough palaces and temples to last a lifetime by now.,0,1.0
128,128," Piles of mountains were made up of circular round boulders,",1,1.0
129,129," It all looked like the perfect natural and calming environment,",1,1.0
130,130, very quiet in places and far removed from the cities we had previously visited.,1,1.0
131,131, We certainly wanted calm and tranquil by this point.,1,1.0
132,132, Either wooden or cement based and were quaint and clean with fans.,0,1.0
133,133, As we followed the beautiful trail that snaked beside the river we came across some completely abandoned sites.,1,1.0
134,134, It was such a beautiful place.,0,1.0
135,135,evil spirits that the beautiful baby is not in fact beautiful.,0,1.0
136,136,"Our evenings in Hampi on the other hand were relaxing (after climbing a rock formed hill) and admiring the sunset (a must while here) or enjoying a beer and delicious curry meal from one of the roof top restaurants,",1,1.0
137,137," at the most unusual Mount View Heritage Hotel,",0,0.0
138,138, what with its stunning rooms and top-notch view over Ooty.,1,1.0
139,139," I have to admit that in the Mount View Hotel,",0,1.0
140,140," It was interesting to take in Ootys beautiful lake,",1,1.0
141,141,"somehow into the beautiful highland areas out of town,",1,1.0
142,142, down the even more spectacular Sighur Ghat road.,1,1.0
143,143, there were spectacular jungle wilderness vistas as far as the eye could see.,1,1.0
144,144, I just have to briefly mention two more of the memorable signs glimpsed down the mountain road.,1,1.0
145,145, the highest population density in the whole of India.,1,1.0
146,146, unparalleled views over the Indian Jungle.,1,1.0
147,147," just staring out at the beauty of the landscape,",0,1.0
148,148,"Mount View Heritage Hotel,",0,0.0
149,149, but still prime viewing area for wildlife.,1,0.0
150,150," Spotted some beautiful beasts,",0,1.0
151,151," but fortunately the only animals we did see were a spectacular group of at least a hundred chital,",1,0.0
152,152," and on my Tree House balcony with the spectacular view,",1,1.0
153,153," with huge horns which have very sharp points,",1,1.0
154,154," antlered chital deer standing very peacefully on the side of the track,",1,1.0
155,155, Unfortunately my viewing of a tiger in the wild will have to wait for another time.,1,0.0
156,156, from the comfort of my very own spare bedroom in my beautiful little house in Croydon.,1,1.0
157,157, of splendid waterfalls situated in various spots of Western Ghat Region.,1,1.0
158,158, Best time to enjoy the waterfalls is during monsoon.,0,1.0
159,159, It is one of the highest waterfall in India (around 900ft) located around 400 KMs from Bangalore.,1,1.0
160,160, These enthusiastic people enjoyed getting soaked by rain and of course the view of waterfalls.,1,1.0
161,161,Last time we went to the foothills (around 900ft) where the waterfall touched the Saravatiriver.,1,0.0
162,162, We thought of visiting the other side of the river to have different view of the falls.,0,0.0
163,163,View of the falls was better from that side.,0,1.0
164,164, The contest between cloud and the waterfall was in full swing.,1,1.0
165,165, The backwater of the Arabian Sea gives a magnificent view of the whole place.,1,1.0
166,166, The area has other beautiful statutes and the temple.,1,1.0
167,167, The area is well planned and beautifully maintained.,0,1.0
168,168, There is lift arrangement for reaching the top floor to have abirds eye view of the surrounding area.,1,1.0
169,169, cleaning of the hotel were not of that standard.,0,0.0
170,170, Also viewing the sea at night from the hotel balcony was a memorable experience.,1,1.0
171,171, Sea was calm and cool today.,1,1.0
172,172, This road was quite good to drive with wonderful natural beauties on the way.,0,1.0
173,173,a splendid view to watch on the way.,1,1.0
174,174," but we thought of visiting Om Beach first,",0,0.0
175,175, Around four Km away from the beach we had the first glimpse of the sea from the top.,1,1.0
176,176," Sea and the beach were located around 200 ft down below,",1,1.0
177,177, An excellent panoramic view to enjoy.,1,1.0
178,178," The beach looked like OM from the top,",0,1.0
179,179, a spectacular sight.,1,1.0
180,180, This beach was different with rocky areas in various places.,0,0.0
181,181, The road passed thru absolutely green forests in Western Ghat with occasional view of waterfalls from nearby hills.,1,1.0
182,182, There was not much traffic en-route.,0,0.0
183,183, very tight descent down the mountains with 27 needle pin bends.,1,1.0
184,184, I found it all both beautiful and absurd.,0,1.0
185,185, The land had gotten very green and beautiful though and it was clear I was in for the next stage of my stay in India.,1,1.0
186,186, It has one of the finest beaches of India and many old age churches.,1,1.0
187,187,It is always eye soothing to go out of the city; then only we can enjoy the real beauty of nature.,1,1.0
188,188, being having awesome weather throughout the year some trees are always laden with beautiful flowers.,1,1.0
189,189, pollution has shielded the natural beauty.,0,1.0
190,190, The memories of these natural beauty remains in the heart and mind for long and gives us enthusiasm to go back to our work of daily life and makes our wait sweet for the next venture.,1,1.0
191,191, Altogether it was a beautiful view with a wide range of green shades.,1,1.0
192,192," We transited through Bangalore last year without seeing anything except one massive traffic jam that lasted two hours,",0,1.0
193,193," Google maps had suggested it would take six hours from our peaceful haven in Wayanad,",1,1.0
194,194, the traffic is not as bad as we feared.,0,0.0
195,195, the streets are quite littered with trash and during the day there are people everywhere.,0,0.0
196,196," The traffic is pretty crazy,",0,1.0
197,197, It's quite amazing and will look beautiful I'm sure.,1,1.0
198,198, In the afternoon we are with a quiet couple who are much better company.,0,1.0
199,199, he sits in the back (where the view is no worse).,0,0.0
200,200," The towns here are markedly more prosperous than in Karnataka which one must ascribe to the richness of the agriculture as this is not the Kerala of beaches where most tourists we head (we are not tourists,",1,1.0
201,201, with a view to mist covered peaks beyond.,1,1.0
202,202, It is a beautiful and peaceful place to enjoy some downtime.,0,1.0
203,203," you can feel the peace of the surroundings,",0,1.0
204,204," but we do have a great view of a group of four elephants who drink from the waters edge,",1,1.0
205,205, a beautiful small bird that is elusive and hard to capture on film.,1,1.0
206,206, And we enjoy the breeze and the peace of the water.,1,1.0
207,207, as this is the day we are leaving there is not a cloud or patch of mist to be seen and we enjoy distant views across the Nilgiris.,1,1.0
208,208, Eventually we set off through the beautiful rolling Tamil Nadu national forest (or something like that).,1,1.0
209,209," A legless beggar sees us waiting in the car and drags himself over on his knuckles to scratch pathetically at the car door,",0,0.0
210,210, Working Indians greatly disapprove of beggars and get really cross if you give them money.,0,0.0
211,211, but it is a long way off in a clearing and our view is somewhat obscured by a tree.,0,1.0
212,212, and beautiful meadows.,0,1.0
213,213, Hence either you may plan accordingly or prefer selected items/views after studying the location map.,1,1.0
214,214, However avoid peak ours for lunch as these small restaurants would be crowded too much and you have to wait outside for long time.,0,1.0
215,215, The catchment area had been built into agricultural fields and recreation area for children.,1,1.0
216,216, Each platform is decorated with fine beautiful carvings on both inside and outer parts.,1,1.0
