,Unnamed: 0,Review,Rating,sentiment
0,0,The well/pool in the depths of the vav.,1,1.0
1,1, despite centuries of traditional efficient and effective usage of the well system.,1,1.0
2,2, Somehow it feels comforting down in these refuges below the chaos of what is above on the surface.,0,0.0
3,3, Much easier to see and more interesting to watch were the wild dogs.,1,1.0
4,4, We first drove to the Eco lodge where we are staying.,1,1.0
5,5, The cottage had a large room and next door a small plunge swimming pool just about deep enough and big enough for one stroke.,1,1.0
6,6, This shop was jammed full with Indian tourists.,1,1.0
7,7,"The lodge where we are staying is a luxury place,",0,0.0
8,8,"Il y a une blague qui circulait sur internet il y a quelque temps : A la fin de Interstellar,",0,0.0
9,9, ca nous a pris 1h30 pour rentrer a l'hotel seulement a 11 km de la.,0,0.0
10,10,My immediate requirement was to look for a lodging arrangement at Bijapur.,0,0.0
11,11, thru calling over phone to no of various hotels (collected from sulekha.,1,0.0
12,12, I could not manage confirmation from any of the hotels.,1,1.0
13,13, I was amazed to see hundreds of vehicles waiting to cross the toll gates.,0,1.0
14,14, There were seven-eight queues each consisting at least hundred vehicles.,0,0.0
15,15,In my queue I noticed that the toll challan was issued by a person standing after the toll gate.,0,0.0
16,16,"earn huge un-accounted income by the toll-gate personnel for each of so many waiting cars,",1,1.0
17,17," Two young Motor Cycle riders were lying on the road in a pool of blood,",1,0.0
18,18,decided to monitor my speed (preferably not beyond 110 km/hr) and thereafter maintained the same throughout my journey.,0,0.0
19,19, This worked well as I managed to avoid a siesta which would be risky in a long drive.,1,1.0
20,20, ruled by the kings of the Adil Shahi dynasty for nearly two hundred years (14901686).,1,1.0
21,21, Citys famous architectural marvels were built during the rule of this dynasty.,1,1.0
22,22, During the rule of Mohammad Adil Shah (1627-1657) the boundary of Bijapur state extended as far as Bangalore.,1,1.0
23,23,"The rule of Adil Shah dynasty ended in 1686,",1,1.0
24,24,I tried to look for a lodging near the bus stand.,0,0.0
25,25, I approached Hotel Lalit Mahal adjacent to the bus-stop and luckily got accommodation.,1,1.0
26,26,The hotel mainly caters to the long-distance bus passengers who need overnight halt in a boarding place near the bus stand.,1,1.0
27,27, far less than other well-known hotels shown in various web-sites).,1,1.0
28,28, The rooms were ok for a nights halt.,1,1.0
29,29, It is the tomb of Mohammed Adil Shah (ruled 1627-1657) and construction ended in 1656.,1,1.0
30,30,Initial drive was thru a narrow and badly maintained road (around a Kilometer) inside a village.,1,0.0
31,31, but I must say that the brilliant sculptures of Nataraja and other goddess in the temple wall were enough to mesmerise even an ordinary person with no background in this field.,1,1.0
32,32," After trying a few hotels in vein,",0,0.0
33,33, I was suggested by one of the hotel personnel to try at Hotel Mukumbika.,1,1.0
34,34," I was allotted a room at the Ground Floor Corner,",0,0.0
35,35, since all other rooms were reported to be already booked/occupied.,0,0.0
36,36, Room was clean although not matching with the tariff.,1,1.0
37,37, The hotel was having a separate parking lot where I parked my car.,0,0.0
38,38," This kingdom ruled Karnataka,",0,0.0
39,39,I was advised by the Hotel personnel to visit the Badami Caves in early morning which I did.,1,1.0
40,40,After having bath and checking out from the hotel I started my return journey at around 12 PM.,0,1.0
41,41," I have been going through lot of blogs since many years and this travel blogger Shivya Nath is one of my favorites who had written about how to start solo travelling where she stated to start a solo trip with a known place that you are comfortable with and there you go,",0,1.0
42,42, I just wanted to feel comfortable in one place and come out of my hidden fears.,1,1.0
43,43," I have always been scared of dark and staying alone,",0,0.0
44,44," One of my friends referred me to stay in this place,",1,1.0
