,Review,Rating,sentiment
0," All of this has been developed and sustained while maintaining Delhis green cover,",1,1.0
1," its like looking thru a layer of Vaseline  everything is blurred and fuzzy  not to mention how bad it smells at times,",0,0.0
2, Organized chaos ensued with people grabbing whatever seats were available and to hell with reservations.,0,0.0
3, rubbish strewn everywhere.,0,0.0
4," the white marble still clean and smooth,",1,1.0
5," you don't quite forget that your blisters have joined in holy matrimony and made one giant blister baby or the fact that you really need a wee and there's not a toilet in sight,",0,1.0
6,In spite of the Governments efforts the hygiene and cleanliness is still an issue though there is a hi-decibel public awareness campaign.,1,0.0
7," Despite the smell it's quite cool wandering through the little streets,",0,1.0
8, Hotel Atithi was probably the most modern and clean hotel so far.,1,1.0
9, but not quite as nice or clean as the hotel in Delhi.,0,1.0
10," gives off a smell of human hair burning,",0,0.0
11, I was the only person who wore her flip flops to get in the river (I couldn't bear to put my feet in the gross dirty sand of the river.,0,0.0
12,) I hope I am sin free and clean of bad energy as I did submerge in he Ganges up to my knees!,1,1.0
13, Many of the people in India litter everywhere and a lot of them spit on the floors alot!,0,0.0
14," cleaned up a little,",1,1.0
15, I could smell his Dhal sauce simmering.,0,0.0
16, and smelling multitudes of stimuli.,0,0.0
17," Presently cleaning the minarets,",0,0.0
18," He kept telling us it was fixed when it wasn't and after we'd been listening to the running water for 20 minutes and somebody turning up to clean up the bathroom after the engineer,",0,1.0
19, et apparemment on nest pas les seuls à sêtre faits « avoir par lheure » vu la longue file de personnes qui ont raté lenregistrement.,0,0.0
20," We had a big clean room,",1,1.0
21," a super clean bathroom,",1,1.0
22, no stains on the bedsheets and the towels.,1,0.0
23," the shared bathroom (with squat toilets) and the horribly dirty kitchen (and hey,",1,0.0
24," with cockroaches and rats running around) we were only going up to the rooftop,",0,0.0
25, it is a dirty city.,0,0.0
26, We then organized a rowboat and rower.,1,1.0
27," This was the first time the smells were strong and with the sacred cattle wandering through the alleys,",1,1.0
28, There is no smell when the bodies are burning.,0,0.0
29," Our hotel was clean and quiet,",0,1.0
30," this is in stark contrast to the surrounding areas where you can see and smell mounds of waste in amongst slum villages,",0,0.0
31,After a quick clean up at the hostel we headed out and made a beeline for the closest ghat.,0,1.0
32, Surprisingly it didn't actually smell bad at all.,1,1.0
33, clean with plush interiors .,1,1.0
34, the beaches clean and the town peaceful .,1,1.0
35," A true gentleman with a clean soul ,",1,1.0
36, You could certainly see that it was every monkey for themselves as they scrapped over rubbish and food thrown onto the tracks.,0,1.0
37, If this wasnt enough there was hundreds of rats running up and down the rails.,0,0.0
38, As they stopped many released their toilet waste onto the tracks.,0,0.0
39, Not to worry the rats cleaned some of it up.,0,1.0
40, rats and humans you would think it would be fatal.,0,0.0
41, The feeling got worse and I had to go to the toilet because of diarrhoea; then I had to go again.,0,0.0
42, I had to go to the toilet twice.,0,0.0
43, On board I had to go to the toilet very often and I didnt eat much.,0,0.0
44," but it was such a clean cut and with ca 1 cm still at place,",1,1.0
45," Although very clean (they were expecting the visit of President Obama who never showed up),",1,0.0
46, The place was stinking and again there was litter and honking horns everywhere.,0,0.0
47," but even if it was just a reduction in litter and pollution,",0,0.0
48, We realized that we were in the poverty area or even in the slum (we passed a huge trash spot) and an old man pushed me.,1,0.0
49," always had clean faces for bedtime,",1,1.0
50," I'd like to think she'd bought some clean underwear since Delhi,",1,1.0
