,Unnamed: 0,Review,Rating,sentiment
0,0,The Seattle/Paris leg of my journey was a delight.,1,1.0
1,1, I was brain-fried at this point and there wasnt an area on my body that didnt ache  such is the life of a road warrior.,1,0.0
2,2, Its been a very long and tiring 2-day journey to get here.,0,1.0
3,3, Trains stop in stations from 1 minute to 8  thankfully Agra qualified for the maximum 8 minutes which was definitely needed!,1,1.0
4,4," A couple of hours later we pull into Jhansi where my 4-hour bus ride is waiting to transport me to the next port of call: Khajuraho,",1,1.0
5,5,remove enough branches to be able to pull the entire trunk out of the road so we could continue our journey.,0,0.0
6,6, Not a single head turned as this vehicle careened down the highway  only those of us on the bus had any reaction to the spectacle.,0,0.0
7,7," By booking transport tickets online,",1,1.0
8,8,"We took the car directly to the train station,",1,1.0
9,9, With only a small delay we hopped on the train towards Agra.,0,0.0
10,10,"hour journey and it flew by,",0,0.0
11,11, It was time for my first train ride in India.,0,0.0
12,12, I had to get to the main train station in Delhi.,1,1.0
13,13, I then had to take a tuk-tuk to the station and I really didn't think about the price I got quoted and realised halfway into the journey that I was ripped off by about 80-100 rupees.,1,1.0
14,14,"At the train station,",1,1.0
15,15, And it was quite possibly the most antiquated train I have ever taken.,0,0.0
16,16," I was rather excited about this train ride - this is real travelling,",1,1.0
17,17,Our train left about 45 minutes late and constantly stopped in the middle of nowhere.,0,0.0
18,18, I'm guessing this is just Indian trains for you and I now realised why so many people were camped out on the train platforms.,0,0.0
19,19,Our driver first stopped about two hours into the journey at a local Hindu Temple.,0,0.0
20,20," The road got worse as we came closer and the traffic,",0,0.0
21,21, From where the bus dropped us it was a 500 metre walk along a brick paved road as the sky gradually lightened.,0,0.0
22,22, The train journey itself was really pleasant and we arrived in Agra in about 3.,1,1.0
23,23, We then got the train to Jaipur.,1,1.0
24,24, 40% cheaper and Lassi from road side shops.,1,1.0
25,25,The day after we were getting the train overnight to Kolkata to fly to Myanmar.,1,1.0
26,26, So I decided to have another strong Bhang lassi and sleep the journey away.,1,1.0
27,27, Somewhere between leaving the platform and taking my seat on the train my wallet either fell out of my pocket or was stolen.,1,0.0
28,28,"Getting the train there from Khajuraho was a bit annoying,",0,0.0
29,29," since there's only two trains that run per day,",0,0.0
30,30," If we went to the train station to get the ticket it might have been possible,",0,0.0
31,31,a waste of a day and the train was super hot.,0,1.0
32,32,"After about nine hours of a sitting on a train we were surprisingly tired,",0,0.0
33,33," I'd learned on the train there from a guy I was talking to,",1,1.0
34,34," but they give all that up to go on the so called final journey of Hinduism,",1,1.0
35,35,"We got the train the to Delhi that night,",1,1.0
36,36," This is the other train station in Delhi,",1,1.0
37,37, we sorted out visas for Myanmar and got all the remaining tickets for the trains we're going to need.,1,1.0
38,38, we found out around 6am that the train was delayed at least an hour or two.,0,0.0
39,39, for a total train trip of 17 hours!,0,0.0
40,40,"When we left the train station,",1,1.0
41,41," We only had a couple of hours because hed already arranged transport and tickets for the Taj Mahal at 3:30pm,",1,1.0
42,42, We had to pack up our bags for transfer to the train station later.,0,0.0
43,43, Our bags would be brought down and stored until we were ready to leave for the train to Agra.,1,1.0
44,44, we all went back to the hotel to wait our transfer to the train station.,0,0.0
45,45, Our guide reminded us that we would not be able to get much to eat on the train and recommended we order something from the hotel to take with us.,0,1.0
46,46," Our train arrived and we all piled on,",1,1.0
47,47, so the tuk-tuk drivers left us off a bit further up the road so we could visit the more modern Mulagandhakuti Vihara temple which was already open.,1,1.0
48,48, so after retrieving our shoes we continued back down the road towards the main ruins.,0,0.0
49,49, we continued down the road and found the main entrance to the ruins.,1,0.0
50,50, we continued down the road and found the Standing Buddha.,1,1.0
51,51," so after grabbing a bottle of soda we walked back up the road until we found our tuk-tuk drivers,",1,1.0
52,52," After the long walk down the road to the main market area,",0,1.0
53,53, We head to the train station at 3pm to catch our overnight sleeper train to Agra and the Taj Mahal.,1,1.0
54,54, sipping the chay I bought from a train vendor.,1,1.0
55,55," When the train pulled into the station at Varanasi,",1,1.0
56,56," We finally got off the train with our luggage and our guide recruited a number of tuk-tuk drivers to take us all to our hotel in Varanasi for the next 2 nights,",1,1.0
57,57,On reprend le train demain et le checkout de la guest house est trop tôt demain matin.,1,1.0
58,58, The main road for the airport into the city was two lane going both ways with lots of green and dirt areas along the sides.,0,0.0
59,59," who transported them to Delhi when he dropped us off at Khajuraho airport,",1,1.0
60,60, long journey of travelling from Sri Lanka.,0,1.0
61,61, This was when we told him we were heading to the train station to book a train for Rishikesh for after our intrepid trip.,0,0.0
62,62, He said that there was a government tourist office that could help foreigners book train tickets and we could get a map of Dehli from there.,1,1.0
63,63, We also got sent round to a back road office that was quite scary as it was at this point it was clear they were working in big groups and we felt really intimidated.,1,0.0
64,64,The next day we decided to venture out again to get to the train station to book our tickets to rishikesh.,1,1.0
65,65,"com now) It was a nice experience and we started to feel a little settled again once we ignored the curious and sometimes aggressive stares and the horrific roads of honking horns and near misses with tuk tuks,",0,0.0
66,66,We are now currently on our intrepid trip and after spending another day visiting a mosque in Dehli we caught a sleeper train to veranasi.,1,1.0
67,67,The overnight train left from Khajuraho and we were in some top bunks in sleeper class.,1,1.0
68,68, Twelve hours later and the train pulled up to Varanasi junction.,0,0.0
69,69, I really think that I'm going to focus a lot more on my flexibility training because I feel so good after doing so.,1,1.0
70,70, weight training and climbing but I seem to often neglect my flexibility or just half-ass it at the end of a training session.,0,0.0
71,71, We stopped along at a place to have breakfast and then continued from the ghats towards a busy road and visited two temples.,1,0.0
72,72, I walked down the ghat and then made the short journey to Siddarth's yoga studio.,0,0.0
73,73," Although my train from Varanasi was only much later,",0,0.0
74,74, to catch a train to Jhansi (2 1/2 hours)where we then got on our bus for the long (5hours)and bumpy ride to Khajuraho.,1,1.0
75,75," No road rules,",0,0.0
76,76," We took an evening train from Jaipur,",1,1.0
77,77,"The train arrived quite late in the evening and after negotiating with several tuk-tuk's,",0,0.0
78,78, I was keeping my fingers crossed as I had an early train to catch the next morning.,0,0.0
79,79,Went to NewDelhi railway station in plenty of time to make sure I knew where to get train and its a good job I did.,1,1.0
80,80, Firstly my train seemed to be noticeably absent from the deoartures board so I asked at enquiries ( braving the scrum lol ) and found my train was going from platform 15.,0,1.0
81,81,On the platform I bought some bananas and oranges for the journey and settled down into my seat.,1,1.0
82,82,Left on time but onky had about half an hour before it got dark and couldn't se any more so resorted to playing games on the tablet and bought water and crisps from the train vendors.,1,1.0
83,83, and on the road for the long drive to Agra.,0,1.0
84,84, a 6am train from New Delhi station whisked us out of Delhi.,0,0.0
85,85,But we couldn't just sit in the hotel so after lunch we walked out to the main road to pick up a tuk-tuk rather getting them to call us a car (we're probably the only people staying there who didn't go everywhere by car and we were certainly the only people staying there with backpacks that we saw!,0,1.0
86,86,The following day we had been due to take a train in the evening to get back to Delhi but watching the previous few days trains it was clear that they had been badly affected by fog sometimes not arriving until the middle of the night so we had cancelled the train and booked a car.,1,0.0
87,87,"30/01/16 out of Rajasthan on my classy AC class train (SL full) to nearby Agra,",1,1.0
88,88," similar boomerang tactics as Delhi with a night train to Varanasi booked,",0,0.0
89,89," With my intended eatery on the same road as their hostel I ride back to main town with Loren & Francsoir,",0,0.0
90,90,night train to Varanasi in cosy sleeper class.,0,0.0
91,91, sunrise boat trip then depart on an overnight train to Kolkata.,1,1.0
92,92, all the incredible modes of transport used by the Nawaabs.,1,1.0
93,93,"""""There are only two mistakes one can make along the road to truth; not going all the way,",0,0.0
94,94, has always been just too far out of the way of my bike journeys for easy access.,0,1.0
95,95, It claims to be a social organisation to provide character training through Hindu discipline and to unite the Hindu community.,1,1.0
96,96, road works and a general (much needed) sprucing up.,1,1.0
97,97," We set off from the hotel expecting to jump in a tuk-tuk however we ended up walking along the road which was crowded with cars,",0,0.0
98,98, Then we reached the narrow and winding roads near the Ghats.,0,1.0
99,99,That evening we went to get on our train to Jaipur to face another stressful railway station experience.,0,0.0
100,100," There was no other option but to get another train that night to Delhi,",0,0.0
101,101, we went to the railway station to get a train to Varanasi.,1,1.0
102,102,Our fond memories of the train to Agra were quickly forgotten.,1,1.0
103,103," You are advised to arrive 1 hour before your train to allow time to get yourself to the right platform,",1,1.0
104,104, but when we arrived at the station we saw that our train to Varanasi had been delayed by 3 hours.,0,0.0
105,105, So we braved the train platform for the last hour.,0,1.0
106,106, By this point we were desperate for the train to arrive.,0,0.0
107,107,When the train was about to come into the platform we had people trying to get us to go to different platforms which became very confusing and we became further flustered.,0,0.0
108,108," Once sitting in the right seats on the right train FINALLY,",0,1.0
109,109, trains in India rarely give any information at all about when the next stop will be or what stop it is.,0,0.0
110,110," The trains also stop on the tracks at any moment for unknown reasons,",0,0.0
111,111,Our first go at catching a train in India was surprisingly calm.,0,1.0
112,112, the carriages well marked and the train not too crowded.,1,1.0
113,113," As you navigate around the train station,",1,1.0
114,114, it is hard to tell who is lying on the ground sleeping whilst waiting for a train and who is sleeping on the ground permanently.,0,0.0
115,115, It is even harder to distinguish people who work at the train station and people who are trying to scam you for your money.,1,0.0
116,116," Luckily we had been pre warned about scam artists insisting that our train was cancelled,",1,0.0
